,city,job_title,company_name,location,summary,salary
128,Dallas,Sr. Tensor Flow consultant (Machine Learning),L&T Infotech,"Dallas, TX",Overall 5+ years of experience. Working as a Consultant for Customer towards guiding and leading in the space of Machine Learning using TensorFlow....,Nothing_found
129,Dallas,Data Scientist,Axelon Services Corporation,"Plano, TX",Performs data studies of new and diverse data sources. Strategizes new uses for data and its interaction with data design....,Nothing_found
130,Dallas,Qualitative Research Analyst,2M Research Services,"Arlington, TX 76011 (East area)",Proficiency in using qualitative data analysis software such as NVivo or ATLAS.ti is also required. We are seeking a highly qualified Qualitative Research...,Nothing_found
131,Dallas,Research Analyst - Nutrition,2M Research Services,"Arlington, TX 76011 (East area)","A minimum of 3 years postgraduate experience in nutrition data collection, analysis, and interpretation is required....",Nothing_found
132,Dallas,Cyber Security Research Scientist 2,Wells Fargo,"Plano, TX","This role will determine likelihood, ease of exploit, data classification, impact and provide a severity/risk rating....",Nothing_found
133,Dallas,Senior Scientist Clinical Research,ABBOTT LABORATORIES,"Plano, TX","Position Summary This position will work closely within the clinical study team including the medical director, biostatistician, study management personnel,...",Nothing_found
134,Dallas,Quantitative Analyst / Data Scientist,Data One Global,"Plano, TX 75093",Job Description for Data One Quantitative Analyst / Data Scientist:. About Data One Global*. Experience with processing and coding real-time data....,Nothing_found
135,Dallas,Big Data Scientist,TierPM,"Dallas, TX",Experience with Big Data technologies specifically Hadoop; Troubleshoot complex issues in the big data analytics applications and Hadoop infrastructure....,Nothing_found
136,Pittsburgh,Quantitative Analytics & Model Development Analyst Sr,PNC Financial Services Group,"Pittsburgh, PA 15289",Data Gathering and Reporting - Working Experience. Analyzes complex data and associated quantitative analysis. Makes recommendations based on findings from data...,Nothing_found
137,Pittsburgh,"Machine Learning Engineer, Self-Driving, Pittsburgh",Uber,"Pittsburgh, PA 15201","The frontend that drives the user experience, the application mid-tier, and the machine learning backends that crunch large amounts of data....",Nothing_found
138,Pittsburgh,"Senior Database Developer (Data Modeling/Analysis, Java, Spring)",BNY Mellon,"Pittsburgh, PA 15219 (Middle Hill area)","Modelling, Data Analysis, and Data Performance. 8+ years experience w/ Data. Efforts to rationalize the Company’s data warehousing and reporting....",Nothing_found
139,Pittsburgh,Assistant Technical Manager,GNC - General Nutrition Centers,"Pittsburgh, PA","Manage discussions with Quality Control, Raw Material Suppliers, Contract Manufacturers, Analytical Laboratories and Technical Data Writers....",Nothing_found
140,Pittsburgh,Cultural Resources Technician,SWCA Environmental Consultants,"Bridgeville, PA",Assist with GPS data collection in the field. SWCA is an employee-owned company of environmental scientists and professionals who specialize in natural and...,Nothing_found
141,Pittsburgh,Level II Software Engineer,Oxford Solutions,"Pittsburgh, PA",Implement data infrastructure for emerging data classes. Level II Software Engineer - Big Data - Data Engineering....,Nothing_found
142,Pittsburgh,CNUP Assistant,The University of Pittsburgh,"Pittsburgh, PA","Expertise with Mac and PC computer formats, word processing, data base, and spread sheet packages. Their research interests span the breadth of neuroscience,...",Nothing_found
143,Pittsburgh,Cyber Security Engineer - 2004923,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",Data analytics and cybersecurity metrics. Expert experience in data analytics and cybersecurity metrics. Analyze assessment data to identify risk areas and...,Nothing_found
144,Pittsburgh,Environmental Engineer / Geologist Project Manager,"Civil & Environmental Consultants, Inc.","Export, PA 15632","Experience with preparing SWPPP and SPCC Plans, annual EPCRA Tier II and TRI reporting, Chemical Data Reporting under TSCA, general and individual NPDES...",Nothing_found
145,Pittsburgh,Senior Cyber Security Engineer - 2005737,Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",Data analytics and cybersecurity metrics. Expert experience in data analytics and cybersecurity metrics. Analyze assessment data to identify risk areas and...,Nothing_found
146,Pittsburgh,Mechanical Designer,"Neuro Kinetics, Inc.","Pittsburgh, PA 15238","Must be able to communicate with scientists, production personnel, engineers, software developers, and marketing and sales team members....",Nothing_found
147,Pittsburgh,Product Manager - Advanced Technologies Group / ATG - Autonomous Vehicle Maps (AVMaps),Uber,"Pittsburgh, PA 15201 (Central Lawrenceville area)","As an Uber ATG PM, you will help technical teams of engineers, data scientists, and designers develop and scale software platforms that are critical to...",Nothing_found
148,Pittsburgh,Product Manager - Advanced Technologies Group / ATG - Pittsburgh,Uber,"Pittsburgh, PA 15201","You will lead teams of engineers, data scientists, and designers to develop and scale software platforms that are critical to autonomous cars:....",Nothing_found
149,Pittsburgh,Information Scientist Sr,PNC Financial Services Group,"Pittsburgh, PA 15289","Data Architecture - Extensive Experience. As an Information Scientist Senior within PNC's Enterprise Data Management organization, you will be based in...",Nothing_found
150,Pittsburgh,Principal Scientist/Technical Manager- New Applications,Covestro,"Pittsburgh, PA","Additionally, collects competitive material samples and/or testing data to benchmark materials and summarizes findings in reports....",Nothing_found
151,Portland,"RN, Medicine, FT, Nights",Oregon Health & Science University,"Portland, OR",Creating a therapeutic environment for this population includes establishing a therapeutic nurse-patient relationship that facilitates gathering critical...,Nothing_found
152,Portland,Administrative Assistant,PrideStaff,"Portland, OR",Data Entry Support for AR/AP. Experience working with Engineers and Scientist is a strong plus. Worldwide Environmental Engineering and Project Management...,Nothing_found
153,Portland,Wireless Architecture and Design Research Scientist,Intel,"Hillsboro, OR 97124","Work with other MAC / PHY and/or upper layer design teams, and design or develop function, simulation and data analysis, power/performance models to evaluate...",Nothing_found
154,Portland,Director of Infection Prevention,Oregon Patient Safety Commission,"Portland, OR",Ability to analyze and interpret data. Bachelors of Science in nursing degree (with a current Oregon nursing license) and/or a Clinical Laboratory Scientist...,"$85,000 - $105,000 a year"
155,Portland,Software Engineer 2 Machine Learning/Data Science,eBay Inc.,"Portland, OR 97204",Be able to extract patterns from large sets of data in order to deliver business insights from data. Help eBay take data to the next level....,Nothing_found
156,Portland,Data Scientist,eBay Inc.,"Portland, OR 97204",A data miner. Be able to extract patterns from large sets of data in order to deliver business insights from data. Help eBay take data to the next level....,Nothing_found
157,Portland,Manager of Business Data Analysis,C-TRAN,"Vancouver, WA 98661",Data processing techniques. Manager of Business Data Analysis*. Extensive job history in data mining or performance metrics preferred....,"$7,807 a month"
158,Portland,"Manufacturing Planner, Early-Career",BOEING,"Portland, OR",Skilled scientists and thinkers. Collects data to support producibility assessments for part or product designs....,Nothing_found
159,Portland,Catalyst Specialist (Relocation to Saudi Arabia),Saudi Aramco,United States,"Interacting with project scientists and technicians as well as management, proponents and other stakeholders....",Nothing_found
160,Portland,DIRECTOR FINANCE-PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,United States,Identifies the appropriate metrics and external comparative data to measure Fluents progress towards its goals....,Nothing_found
161,Portland,Research Analyst / Trader - Morley Capital Management - #220837,Principal Financial,"Portland, OR 97201",Job Area: Investments Business Area: PGI Morley Location: OR - Portland Career Category: Experienced Professional Full/Part Time: Full-Time Regular/Temporary:...,Nothing_found
162,Portland,ASSISTANT MANAGER - NURSING - EMERGENCY DEPARTMENT,Presbyterian Healthcare Services,United States,"Add in Albuquerque’s International Balloon Fiesta, Los Alamos’ nuclear scientists, Roswell’s visitors from outer space, and....",Nothing_found
163,Portland,Physician Assistant - Orthopedic Surgery,Department of Veteran Affairs,"Portland, OR","Takes an active role in interdisciplinary care coordination, communicates relevant patient data. VAPORHCS is connected to Oregon Health & Science University (...",Nothing_found
164,Phoenix,Microbiology Lead Technologist,Gila River Health Care,"Sacaton, AZ","Medical Technologist or Clinical Laboratory Scientist with ASCP or equivalent certification required. Performs medical laboratory tests, procedures, experiments...",Nothing_found
165,Phoenix,Senior Laboratory Technician,Beacon Biomedical,"Phoenix, AZ","Assisting in data collection for periodic laboratory audits, Quality Improvement and special projects; May assists Clinical Laboratory Scientists in the...",Nothing_found
166,Phoenix,Big Data Engineer,DIVERSANT LLC,"Chandler, AZ 85225",Collaborate with data scientists to develop advanced modeling capabilities. Provide big data thought leadership to leverage data efficiently....,Nothing_found
167,Phoenix,Business Engagement Manager,Honeywell,"Phoenix, AZ 85034 (Central City area)","Lead a team of Data Scientists to build and productionize analytics. Using your expertise in data analytics and business consulting, you will convert business...",Nothing_found
168,Phoenix,"Account Executive - Phoenix, AZ or Irvine, CA","Alteryx, Inc.","Phoenix, AZ 85034 (Central City area)","Technologically savvy with experience in Business Intelligence, Strategic Analytics, Data Integration/ETL, Data Services Provider or Data Discovery...",Nothing_found
169,Phoenix,Quality Assurance Engineer (or Scientist),MRIGlobalSearch,"Phoenix, AZ","Our client has a fast paced culture of creation, innovation and collaboration. This aggressive organization has created tremendous opportunities for talented,...",Nothing_found
170,Phoenix,Histology Technologist,Caris Life Sciences,"Phoenix, AZ",Laboratory Scientists are responsible for performing routine histology duties; Demonstrated skills in technical data interpretation and ability to troubleshoot....,Nothing_found
171,Phoenix,Security and Fire Protection Multi Operations Senior Manager,BOEING,"Mesa, AZ 85215 (Northeast area)","EPSS data and processes; Reporting to the Security Technical Operations Senior Manager, this manager leads employees within the Security and Fire Protection...",Nothing_found
172,Phoenix,Instrumentation Technician 1,Exponent,"Phoenix, AZ 85027","Familiarity with instrumentation, system frequency response, data acquisition techniques, and digital and analog filtering techniques....",Nothing_found
173,Phoenix,Senior Software Engineer,SeekPro,"Scottsdale, AZ",You will also perform rigorous software validations using data acquired from benchmark simulation models developed in tested commercial software and data from...,Nothing_found
174,Phoenix,Senior Software Engineer,"VS Labs, LLC","Scottsdale, AZ",You will also perform rigorous software validations using data acquired from benchmark simulation models developed in tested commercial software and data from...,Nothing_found
175,Phoenix,Category Leader – Facilities Services,BOEING,"Mesa, AZ 85215 (Northeast area)",Skilled scientists and thinkers. Category Leaders have strong operational skills to manage complex/competing project teams and present compelling...,Nothing_found
176,Phoenix,Procurement Financial Analyst - Early Career,BOEING,"Mesa, AZ 85215","Skilled scientists and. Develops estimates from historical data, parametric analysis, technical requirements and diverse sources of data....",Nothing_found
177,Phoenix,Laboratory Information System Clinical Applications Specialist,Gila River Health Care,"Sacaton, AZ",Minimum of three (3) years clinical laboratory experience including with data systems responsibilities. Medical Technologist or Clinical Laboratory Scientist...,Nothing_found
178,Phoenix,"Scientist, WFM",Direct Energy,"Phoenix, AZ","Analyze data and process to continuously improve the staff utilization and customer experience. Can be located in Phoenix, Houston, or Tulsa....",Nothing_found
179,Denver,Watershed Scientist,Denver Water,"Denver, CO 80204","Is currently seeking a qualified candidate to assist us as a Watershed Scientist. Conduct and manage consultants for data collection, field studies, ecosystem...","$5,486 a month"
180,Denver,Quantitative Risk Analyst,CoBank,"Denver, CO","This role is responsible for assessing the performance and suitability of models by evaluating their mathematical theory and construct, analyzing the relevance...",Nothing_found
181,Denver,Security Data Science Director,Great-West,"Denver, CO",Experience managing Data Scientists. Great-West Financial is looking for a high-energy Director of Data Science to help build out a centralized security...,Nothing_found
182,Denver,Metallurgical Engineer/Materials Scientist,Johns Manville,"Littleton, CO","Expert in metallography, material data analysis, and interpretation of microstructures. Johns Manville's R&D Process Technology Group provides metallurgical /...",Nothing_found
183,Denver,Associate Professor,University of Colorado,"Aurora, CO","Data directed decision making, using benchmark and institutional metrics will be required. The Department of Pathology contains ~ 100 faculty, from basic...",Nothing_found
184,Denver,"Interdisciplinary Engineer/Geophysicist, GS-0854/0855/1313-11/12 (MDB-DEU)",Department of the Interior,"Golden, CO","Manage and maintain scientific data products and data systems. Manage critical real-time acquisition, transport, management, processing, and dissemination of...",Nothing_found
185,Denver,Geotechnical/Geological Engineer Associate - Denver,"Wiss, Janney, Elstner Associates","Denver, CO","Organizes field data to facilitate analysis and problem solving. Ability to record data clearly and write passages for reports, letters, etc....",Nothing_found
186,Denver,Data Scientist Snr Manager,Oracle,"Broomfield, CO",3+ years in leadership/management of data science/analytic team. Create processes to calibrate any external data with internal metrics and truth sets....,Nothing_found
187,Denver,Lead Data Engineer,ThoughtWorks,"Denver, CO",Understanding of how to architect solutions for data science and analytics such as productionizing machine learning models and collaborating with data...,Nothing_found
188,Denver,Software Engineer,"Flagship Biosciences, Inc.","Westminster, CO","The project is intended to provide Flagship’s entire image analysis and data management infrastructure, enabling Flagship computer vision scientists to develop...",Nothing_found
189,Denver,Lead Data Scientist,DISH Network,"Englewood, CO","The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Nothing_found
190,Denver,Senior Research Analyst,Nurse-Family Partnership,"Denver, CO 80203 (Capitol Hill area)","The Senior Research Analyst, in collaboration with other staff and external partners, will help design and conduct evaluation and research studies of program...",Nothing_found
191,Denver,Principal Machine Learning Engineer,Pearson,"Centennial, CO","+ Develop scalable data processing pipelines. Together with a highly multi-disciplinary team of engineers, scientists, strategic partners, product managers and...",Nothing_found
192,Denver,Principal Engineer I - Data Scientist,Spectrum,"Centennial, CO 80122","The Principal Engineer- Data Scientist will be responsible for designing, building and extracting large and complex data sets while thinking strategically about...",Nothing_found
193,Denver,People Data Scientist (Temporary),"Terumo BCT, Inc.","Lakewood, CO","As a People Data Scientist, you'll help us analyze our people data better to support insights at scale. Thorough understanding of data science process and data...",Nothing_found
194,Houston,Process Development Scientist,Bellicum Pharmaceuticals,"Houston, TX 77030",Work with the manufacturing and development teams to generate data to support advancement of Bellicum’s products....,Nothing_found
195,Houston,Engineering Consultant,alliantgroup,"Houston, TX","Assist in the research & analysis of client data. As a Consultant, you will work in a team environment alongside some of the best in the business including...",Nothing_found
196,Houston,Research Analyst,CBRE,"Houston, TX",Ability to handle and manipulate large amounts of data. Reviews and evaluates data results collected by themselves and others within the research team to ensure...,Nothing_found
197,Houston,"Quantitative Analysis, Commodities Summer Analyst (North America)",Citi,"Houston, TX","You're the brains behind our work. Youre the brains behind our work. Youre ready to bring your knowledge from the classroom to the boardroom, and Citi wants...",Nothing_found
198,Houston,Senior Natural Gas Market Analyst,Hart Energy,"Houston, TX","Coordinate internally with key stakeholders across Stratas Advisors, including economists, political scientists and geologists, to create and maintain an...",Nothing_found
199,Houston,Data Management Analyst - Center for Translational Injury Research,The University of Texas Health Science Center at H...,"Houston, TX","Experience providing analysis of data. Utilizing analytical and data management tools, performs intermediate level data creation, management, analysis and...",Nothing_found
200,Houston,Geoscience Students Seeking an Internship,ExxonMobil,"Houston, TX 77046 (Montrose area)","Ability to integrate knowledge, varied data sets, analogs and ideas to solve geological problems to support the business....",Nothing_found
201,Houston,Postdoctoral Associate,Baylor College of Medicine,"Houston, TX","The PI is specifically seeking scientists with a strong track record in research collaboration, protocol development, independence, critical thinking, and skill...",Nothing_found
202,Houston,"Senior Medical Lab Scientist, Lab Services - Victory Lakes Pathology",The University of Texas Medical Branch,"League City, TX","Reviews test results, QC data, proficiency data for accuracy and monitors QA and CLIA requirements,. Senior Medical Lab Scientist, Lab Services - Victory Lakes...",Nothing_found
203,Houston,Cyber Research and Hunting Analyst,Macquarie Group Limited,"Houston, TX","Forensic analysis including data carving, process and network traffic enumeration, registry artifacts, timeline production, etc....",Nothing_found
204,Houston,Web Application Developer,BioScience Writers,"Houston, TX 77025 (Medical area)","Verify accuracy, safety, and completeness of projects by implementing comprehensive testing and sample data;...",Nothing_found
205,Houston,Geoscience Students Seeking an Internship,Exxon Mobil,"Houston, TX","Ability to integrate knowledge, varied data sets, analogs and ideas to solve geological problems to support the business....",Nothing_found
206,Houston,Exam Admin,Elsevier,"Houston, TX","Data Entry of Packages. A global company based in Amsterdam, Elsevier partners with scientists, researchers, healthcare providers, educators and decision-makers...",Nothing_found
207,Houston,Lead Data Scientist,Invesco,"Houston, TX","Lead Data Scientist, Disruptive Technologies Job Summary. Perform explanatory data analysis, generate and test working hypotheses, prepare and analyze...",Nothing_found
208,Houston,Sr. Principal Data Scientist,Invesco,"Houston, TX","Lead Data Scientist, Disruptive Technologies. Experience with data visualization tools. Perform explanatory data analysis, generate and test working hypotheses,...",Nothing_found
209,Miami,Quantitative Analyst/ Programmer,Guzman Energy,"Coral Gables, FL 33134",Mine and analyze data pertaining to markets and help design statistical models to support trade strategies. Proficiency at querying relational databases (SQL)...,Nothing_found
210,Miami,Certifying Scientist,Clinical Lab,"Miami, FL 33169",A clinical toxicology laboratory in North Miami Beach is seeking a Certifying Scientist with strong chromatography skills to perform quantification and data...,Nothing_found
211,Miami,Sr. Scientist Product Development Operations,Germer International,"Fort Lauderdale, FL","Scientist, Product Development Operations. Proficiency in analysis of data using statistical evaluation. Sr....","$80,000 - $105,000 a year"
212,Miami,Supplier Quality Engineer (Data Scientist),"TekPartners, A P2P Company","Plantation, FL","Supplier Quality Engineer (Data Scientist) Location:. Strong data analysis capability including ability to articulate the findings; Plantation, FL Duration:....",Nothing_found
213,Miami,"Senior Interior Designer - Healthcare market | Miami, FL","Gresham, Smith and Partners.","Coral Gables, FL","Compile data, perform design computations and prepare plans and renderings. GS&P consists of industry-leading professionals practicing architecture and...",Nothing_found
214,Miami,Web Portal Developer,"TekPartners, A P2P Company","Plantation, FL","The goal is to develop and deploy a fully automated test automation solution that empowers a wide community of software engineers, scientists, and artists to...",Nothing_found
215,Miami,Senior Administrative Assistant,Beckman Coulter - Diagnostics,"Miami, FL",Scientists use our life science research instruments to study complex biological problems including causes of disease and potential new therapies or drugs....,Nothing_found
216,Miami,Project Scientist (FDOT Transportation Improvement Contamination Experience),HCR,"Fort Lauderdale, FL","The Project Scientist supports the work of the Project Teams by performing tasks including field sampling, data compilation, assisting with report preparation,...",Nothing_found
217,Miami,Senior Accounting Assistant,HDR,"Miami Lakes, FL",Work with section and project personnel to provide timely contract performance data and resolve financial issues....,Nothing_found
218,Miami,"Environmental Scientist, Engineer or Geologist - Entry to 2 Years Experience","Langan Engineering and Environmental Services, Inc...","Miami, FL","Data management, processing and evaluation; Langan has an opening for an Environmental Scientist, Engineer or Geologist at our Miami Lakes, FL office....",Nothing_found
219,Miami,"Director, Revenue",Kerzner International,"Fort Lauderdale, FL 33324",You will also need to be capable of leading a team of data scientists and working across multiple analytics platforms to apply leading edge technology and...,Nothing_found
220,Miami,"Software Engineer, Machine Learning & Computer Vision",3GIMBALS,"Miami, FL","Database management and data warehousing. Experience with big data a plus. 3GIMBALS is a small team (< 20) of military veterans, intelligence analysts, and data...","$100,000 - $125,000 a year"
221,Miami,Senior HR Manager,Dyson,"Miami, FL","Ensure all employee data is up to date and accessible. Using a desire to make things work better as a catalyst for invention, our team of 3,000 engineers and...",Nothing_found
222,Miami,Quality Assurance Scientist,Kelly Services,"Hialeah, FL 33014",$20 per hour Summary Assists in data collection and analysis of quality data generated from Hematology systems....,Nothing_found
223,Miami,Medical Director - Physiatry/PM&R,Miami Children’s Health System,"Miami, FL 33155","The position is primarily a clinical position related to the diagnosis, treatment and clinical management of pediatric patients in a multidisciplinary...",Nothing_found
224,Washington+DC,Scientist - Discovery Proteomics,NantWorks,"Rockville, MD 20850","Experience with large-scale data analysis and bioinformatics. Hands-on experience with Quadrupole-Orbitrap mass spectrometry, nano-LC fluidics, and data...",Nothing_found
225,Washington+DC,"Data Scientist (Machine Learning, NLP, Text Analytics)",Leidos,"Herndon, VA 20171","The Advanced Solutions Group (ASG) at Leidos has a career opportunity for a Data Scientist specializing in text analytics located in Herndon, VA, Arlington, VA,...",Nothing_found
226,Washington+DC,Development Data Analyst,ASET Partners,"Washington, DC","Seven years or more years of specialized experience working on complex data/database projects as a data analyst, data architect, data scientist or database...",Nothing_found
227,Washington+DC,"Adaptation Analytics Intern, Thriving Earth Exchange (TEX)",American Geophysical Union,"Washington, DC 20009 (U Street Corridor area)","Experience and demonstrated skill with data management and data integration. Graduate work in computer science, data analytics, artificial intelligence, or...",Nothing_found
228,Washington+DC,Data Scientist/Software Engineer,Systems & Technology Research,"Arlington, VA 22203 (Bluemont area)","Systems & Technology Research (STR) is seeking data scientists and software engineers to support exciting new projects in the Washington, DC area....",Nothing_found
229,Washington+DC,Data Analyst (Statistical Analysis),Teracore,"Washington, DC",Experience managing small data analytics teams. Previous experience working on DHS data systems. The Data Analyst will work on a small project team to provide...,Nothing_found
230,Washington+DC,Statistician/Consult Predictive Analytics,Dun & Bradstreet,"Reston, VA 20190",Drive timely retrieval of risk analytics data from existing systems to create algorithms that meet business needs....,Nothing_found
231,Washington+DC,Computer Scientist (Data Management),U.S. Federal Government,"Washington, DC",Provide data governance and stewardship support maintaining standardization and ownership rules for data resources in collaboration with business areas data...,Nothing_found
232,Washington+DC,Data Scientist,Coverent,"McLean, VA","Coverent is seeking a Data Scientist to lead quantitative research and program evaluation activities as part of a multidisciplinary, mission-focused data...",Nothing_found
233,Washington+DC,Data Scientist,Vencore,"McLean, VA",Handle processing and index requests against high-volume collections of data and high-velocity data streams. Has the ability to make discoveries in the world of...,Nothing_found
234,Washington+DC,Data Scientist/Advanced Analytics and Modeling Consultant,Deloitte,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)","4 + years of data mining and predictive modeling experience. Extensive knowledge of tools for data mining and statistics (SAS, R, SPSS, Matlab)....",Nothing_found
235,Washington+DC,Sr. Data Scientist,Pivotal Software,"Washington, DC","A proven passion for generating insights from data, with a strong familiarity with the higher-level trends in data growth, open-source platforms, and public...",Nothing_found
236,Washington+DC,Data Scientist,Deloitte,"Arlington, VA 22209",Gathering data from both information systems and personal interactions. Do you want to build your brand by working for a leading consulting firm that drives...,Nothing_found
237,Washington+DC,Data Scientist,Leidos,"Suitland, MD 20752",O Statistical data analysis and use of data analysis tools (e.g. O Data preparation and visualization/presentation....,Nothing_found
238,Washington+DC,Data Scientist,Central Intelligence Agency,"Washington, DC","Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments....","$62,338 - $119,794 a year"
239,Boulder,People Data Scientist (Temporary),"Terumo BCT, Inc.","Lakewood, CO","As a People Data Scientist, you'll help us analyze our people data better to support insights at scale. Thorough understanding of data science process and data...",Nothing_found
240,Boulder,Quantitative Risk Analyst,CoBank,"Denver, CO","This role is responsible for assessing the performance and suitability of models by evaluating their mathematical theory and construct, analyzing the relevance...",Nothing_found
241,Boulder,SQL Server DBA,iNovate Solutions,"Louisville, CO","Perform data research in support of analysts and data scientists. In this role, you will be responsible for understanding the system data, performing quality...",Nothing_found
242,Boulder,Research Analyst – Office of Institutional Research & Analysis,University of Denver,"Denver, CO","Your proficiency working with complex data. Ability to explore data models and build queries to efficiently extract, analyze, and report data from multiple...",Nothing_found
243,Boulder,Software Development Engineer - Machine Learning,Conga,"Broomfield, CO",Knowledge of industry standards and trends on Big Data. Create and maintain machine learning models with a focus on big data....,Nothing_found
244,Boulder,Business Intelligence Director,CREDIT UNION OF COLORADO,"Denver, CO","Working knowledge of data architecture, database design, data modeling and data warehousing. Consult on disaster recovery, data replication and other...",Nothing_found
245,Boulder,Principal Systems Information Engineer (661137),Ball Aerospace,"Boulder, CO","Ensure that relevant threat and vulnerability data is considered in support of information security decisions. Our team of more than 3,000 engineers, scientists...",Nothing_found
246,Boulder,Systems Information Engineer II (661714),Ball Aerospace,"Boulder, CO","Ensure that relevant threat and vulnerability data is considered in support of information security decisions. Our team of more than 3,000 engineers, scientists...",Nothing_found
247,Boulder,"Sr Staff Scientist, R&D",DigitalGlobe,"Westminster, CO",Experience with 3D and elevation data. Please review the job details below....,Nothing_found
248,Boulder,"Senior Associate, Data Scientist - Optimization",KPMG,"Denver, CO 80202 (Lodo area)","KPMG is currently seeking a Senior Associate, Data Scientist - Optimization, to join our Advanced Data and Analytics Organization....",Nothing_found
249,Boulder,Competitive Research Analyst,Layer3 TV,"Denver, CO","Strong analytical skills, including ability to analyze large data sets, identify insights, and synthesize how insights impact business decisions....",Nothing_found
250,Boulder,JCSDA Software Engineer/Programmer II - JEDI,UCAR,"Boulder, CO",This position is under the Joint Center for Satellite Data Assimilation (JCSDA) and provides partial support for the Joint Effort for Data assimilation...,Nothing_found
251,Boulder,Principal Machine Learning Engineer,Pearson,"Centennial, CO","+ Develop scalable data processing pipelines. Together with a highly multi-disciplinary team of engineers, scientists, strategic partners, product managers and...",Nothing_found
252,Boulder,Principal Engineer I - Data Scientist,Spectrum,"Centennial, CO 80122","The Principal Engineer- Data Scientist will be responsible for designing, building and extracting large and complex data sets while thinking strategically about...",Nothing_found
253,Boulder,Watershed Scientist,Denver Water,"Denver, CO 80204","Is currently seeking a qualified candidate to assist us as a Watershed Scientist. Conduct and manage consultants for data collection, field studies, ecosystem...","$5,486 a month"
